App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
Smash Up: Awesome Level 9000,Strategy,3.636305,6341,45,6341,Strategy,2013,Strategy,Strategy,2,2,12,493
Las Vegas,Family,3.562155,8775,30,8775,Family,2012,Family,Family,2,5,8,494
Shakespeare,Strategy,3.72552,3663,90,3663,Strategy,2015,Strategy,Strategy,1,4,13,495
Pipeline,Strategy,3.878255,2399,120,2399,Strategy,2019,Strategy,Strategy,2,4,12,496
Imperial Settlers: Empires of the North,Strategy,3.838985,2687,90,2687,Strategy,2019,Strategy,Strategy,1,4,10,497
Time's Up!,Party,3.646825,4891,90,4891,Party,1999,Party,Party,4,18,12,498
Defenders of the Realm,Thematic,3.655695,5138,90,5138,Thematic,2010,Thematic,Thematic,1,4,13,499
Valeria: Card Kingdoms,Strategy,3.728865,3777,45,3777,Strategy,2016,Strategy,Strategy,1,5,13,500
Wallenstein,Strategy,3.73878,3462,150,3462,Strategy,2002,Strategy,Strategy,3,5,12,501
Blackout: Hong Kong,Strategy,3.768175,3090,150,3090,Strategy,2018,Strategy,Strategy,1,4,14,502
Luna,Strategy,3.668475,4310,100,4310,Strategy,2010,Strategy,Strategy,1,4,12,503
The Battle of Five Armies,Thematic,3.935415,2153,240,2153,Thematic,2014,Thematic,Thematic,2,2,13,504
ZhanGuo,Strategy,3.80061,2798,120,2798,Strategy,2014,Strategy,Strategy,2,4,12,505
Formula D,Family,3.513,16566,60,16566,Family,2008,Family,Family,2,10,8,506
Dice Throne: Season One,Family,3.846835,3461,40,3461,Family,2018,Family,Family,2,6,8,507
Pax Renaissance,Strategy,4.033605,1764,120,1764,Strategy,2016,Strategy,Strategy,2,4,12,508
Betrayal at House on the Hill,Thematic,3.532935,35072,60,35072,Thematic,2004,Thematic,Thematic,3,6,12,509
Warhammer Quest: The Adventure Card Game,Thematic,3.6933,4738,60,4738,Thematic,2015,Thematic,Thematic,1,4,14,510
Myrmes,Strategy,3.64567,4912,120,4912,Strategy,2012,Strategy,Strategy,2,4,13,511
Torres,Strategy,3.566765,8476,60,8476,Strategy,1999,Strategy,Strategy,2,4,12,512
Mr. Jack,Strategy,3.511495,14642,30,14642,Strategy,2006,Strategy,Strategy,2,2,9,513
Cuba,Strategy,3.57253,7773,120,7773,Strategy,2007,Strategy,Strategy,2,5,10,514
Cuba Libre,Uncategorized,3.85802,2370,180,2370,Uncategorized,2013,Uncategorized,Uncategorized,1,4,14,515
Lord of the Rings: The Confrontation,Strategy,3.597245,6434,30,6434,Strategy,2002,Strategy,Strategy,2,2,12,516
Exit: The Game – The Pharaoh's Tomb,Strategy,3.62961,4846,90,4846,Strategy,2016,Strategy,Strategy,1,6,12,517
Fury of Dracula (Second Edition),Thematic,3.56538,8871,180,8871,Thematic,2005,Thematic,Thematic,2,5,10,518
Specter Ops,Strategy,3.62159,5413,120,5413,Strategy,2015,Strategy,Strategy,2,5,13,519
Up Front,Uncategorized,3.93189,2124,60,2124,Uncategorized,1983,Uncategorized,Uncategorized,2,3,12,520
Camel Up (Second Edition),Family,3.846355,2538,45,2538,Family,2018,Family,Family,3,8,8,521
Steampunk Rally,Strategy,3.621875,5465,60,5465,Strategy,2015,Strategy,Strategy,2,8,14,522
The Downfall of Pompeii,Family,3.566845,7172,45,7172,Family,2004,Family,Family,2,4,10,523
